Invoice Number,Supplier GSTIN,Receiver GSTIN,Invoice Date,Line-Item HSN Code,Taxable Value,CGST Rate,SGST Rate,IGST Rate,Total Tax,Total Amount,Payment Status
INV-2024-0001,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-03-11,8517,26062.28,9.0,9.0,0.0,4691.22,30753.5,Overdue
INV-2024-0002,07AAAAA1234A1Z5,24BBGGG5432G1Z2,2024-05-19,8471,81096.79,0.0,0.0,18.0,14597.42,95694.21,Paid
INV-2024-0003,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-02-25,8517,43837.38,9.0,9.0,0.0,7890.72,51728.1,Paid
INV-2024-0004,09AAFFE7890E1Z6,27BBBCT8765C1Z3,2024-06-15,8708,126713.0,0.0,0.0,28.0,35479.64,162192.64,Paid
INV-2024-0005,33AADDE3456D1Z1,19BBFFE0987F1Z0,2024-03-12,1905,30817.61,0.0,0.0,5.0,1540.88,32358.49,Paid
INV-2024-0006,33AADDE3456D1Z1,29BBCCG2109D1Z4,2024-03-12,8517,25564.77,0.0,0.0,18.0,4601.66,30166.43,Paid
INV-2024-0007,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-04-07,8471,59103.04,9.0,9.0,0.0,10638.54,69741.58,Paid
INV-2024-0008,09AAFFE7890E1Z6,29BBCCG2109D1Z4,2024-01-12,8708,109182.1,0.0,0.0,28.0,30570.99,139753.09,Paid
INV-2024-0009,33AADDE3456D1Z1,07BBBBB4321B1Z9,2024-05-21,9983,381761.87,0.0,0.0,18.0,68717.14,450479.01,Pending
INV-2024-0010,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-02-19,8708,29258.81,0.0,0.0,28.0,8192.47,37451.28,Overdue
INV-2024-0011,27AABCT5678B1Z2,36BBHHH1122H1Z5,2024-03-15,8471,106255.18,0.0,0.0,18.0,19125.93,125381.11,Paid
INV-2024-0012,07AAAAA1234A1Z5,07BBBBB4321B1Z9,2024-04-26,8708,185992.64,0.0,0.0,18.0,33478.68,219471.32,Paid
INV-2024-0013,29AACCG9012C1Z8,29BBCCG2109D1Z4,2024-02-23,8708,69730.45,14.0,14.0,0.0,19524.52,89254.97,Overdue
INV-2024-0014,07AAAAA1234A1Z5,19BBFFE0987F1Z0,2024-06-11,8517,45650.81,0.0,0.0,18.0,8217.15,53867.96,Paid
INV-2024-0015,27AABCT5678B1Z2,33BBDDE6543E1Z7,2024-04-07,9983,445809.34,0.0,0.0,18.0,80245.68,526055.02,Overdue
INV-2024-0016,09AAFFE7890E1Z6,27BBBCT8765C1Z3,2024-06-24,9983,387140.77,0.0,0.0,18.0,69685.34,456826.11,Paid
INV-2024-0017,27AABCT5678B1Z2,36BBHHH1122H1Z5,2024-01-09,1905,13094.5,0.0,0.0,5.0,654.73,13749.23,Paid
INV-2024-0018,07AAAAA1234A1Z5,27BBBCT8765C1Z3,2024-05-25,8708,79508.97,0.0,0.0,28.0,22262.51,101771.48,Overdue
INV-2024-0019,33AADDE3456D1Z1,33BBDDE6543E1Z7,2024-06-13,3004,12857.94,6.0,6.0,0.0,1542.96,14400.9,Paid
INV-2024-0020,27AABCT5678B1Z2,24BBGGG5432G1Z2,2024-05-23,7210,282311.04,0.0,0.0,18.0,50815.99,333127.03,Pending
INV-2024-0021,33AADDE3456D1Z1,19BBFFE0987F1Z0,2024-04-12,9983,137728.3,0.0,0.0,18.0,24791.09,162519.39,Paid
INV-2024-0022,09AAFFE7890E1Z6,33BBDDE6543E1Z7,2024-01-24,1905,4507.72,0.0,0.0,5.0,225.39,4733.11,Paid
INV-2024-0023,27AABCT5678B1Z2,24BBGGG5432G1Z2,2024-02-10,1905,24775.4,0.0,0.0,5.0,1238.77,26014.17,Pending
INV-2024-0024,07AAAAA1234A1Z5,33BBDDE6543E1Z7,2024-04-07,7210,847013.46,0.0,0.0,18.0,152462.42,999475.88,Pending
INV-2024-0025,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-01-03,8708,162747.97,0.0,0.0,28.0,45569.43,208317.4,Overdue
INV-2024-0026,09AAFFE7890E1Z6,36BBHHH1122H1Z5,2024-03-09,1905,23510.78,0.0,0.0,5.0,1175.54,24686.32,Paid
INV-2024-0027,27AABCT5678B1Z2,27BBBCT8765C1Z3,2024-02-10,3004,5178.49,9.0,4.5,0.0,699.1,5877.59,Overdue
INV-2024-0028,29AACCG9012C1Z8,19BBFFE0987F1Z0,2024-02-15,7210,782723.44,0.0,0.0,18.0,140890.22,923613.66,Overdue
INV-2024-0029,29AACCG9012C1Z8,36BBHHH1122H1Z5,2024-06-12,7210,548907.06,0.0,0.0,18.0,98803.27,647710.33,Paid
INV-2024-0030,29AACCG9012C1Z8,36BBHHH1122H1Z5,2024-02-11,7210,814194.81,0.0,0.0,18.0,146555.07,960749.88,Pending
INV-2024-0031,07AAAAA1234A1Z5,19BBFFE0987F1Z0,2024-03-23,3004,6071.22,0.0,0.0,12.0,728.55,6799.77,Paid
